楷飞喊,矫痢,扁措咯疙(傈眉)[斥],扁措咯疙(巢磊)[斥],扁措咯疙(咯磊)[斥],荤噶犬伏(傈眉),荤噶犬伏(巢磊),荤噶犬伏(咯磊),积粮磊(傈眉),积粮磊(巢磊),积粮磊(咯磊),沥瘤牢备(傈眉),沥瘤牢备(巢磊),沥瘤牢备(咯磊),醚积粮斥荐(傈眉),醚积粮斥荐(巢磊),醚积粮斥荐(咯磊),荤噶磊(傈眉),荤噶磊(巢磊),荤噶磊(咯磊)
3技,2012 斥,78.14588,74.85756,81.43215,0.00016,0.00019,0.00014,99655.77006,99625.37589,99687.47138,99647.75205,99616.15947,99680.65169,7787687.893,7457712.445,8117765.538,16.03601,18.43284,13.63939
3技,2013 斥,78.63567,75.39948,81.87083,0.00016,0.00018,0.00014,99662.43889,99647.06118,99678.47833,99654.29058,99637.92366,99671.31918,7837022.163,7513336.672,8160759.782,16.29662,18.27504,14.3183
3技,2014 斥,79.07606,75.86108,82.28976,0.00012,0.00013,0.00011,99659.42011,99639.90755,99680.01746,99653.43063,99633.29238,99674.65361,7880674.702,7558790.933,8202644.354,11.97896,13.23035,10.7277
3技,2015 斥,79.31981,76.22705,82.411,0.00013,0.00015,0.0001,99687.13462,99662.47386,99712.85062,99680.75186,99654.92112,99707.63776,7907164.267,7596976.642,8217435.674,12.76553,15.10548,10.42571
3技,2016 斥,79.61967,76.58397,82.65339,0.00012,0.00014,0.00011,99679.60421,99647.53321,99712.89081,99673.51224,99640.72633,99707.5137,7936457.676,7631403.829,8241608.31,12.18393,13.61378,10.75423
3技,2017 斥,79.9441,76.93967,82.94673,0.00012,0.00013,0.00012,99689.95953,99660.97289,99720.5953,99683.7518,99654.29634,99714.85629,7969624.074,7667882.796,8271497.19,12.41546,13.35311,11.47802
3技,2018 斥,79.99606,77.01279,82.97746,0.00011,0.00011,0.0001,99684.39915,99654.1363,99716.47832,99678.95043,99648.46545,99711.25162,7974358.905,7674643.264,8274219.845,10.89745,11.3417,10.4534
4技,1970 斥,61.66189,57.96612,65.35381,0.00259,0.00269,0.00248,94792.08474,94747.15747,94845.72326,94669.53932,94619.83678,94727.94185,5845058.848,5492125.226,6198529.682,245.09084,254.64139,235.56282
4技,1971 斥,62.00998,58.22247,65.79363,0.00246,0.00257,0.00236,94928.83621,94884.54433,94981.41112,94811.85068,94762.75628,94869.2179,5886535.427,5524412.898,6249171.657,233.97107,243.5761,224.38645
4技,1972 斥,62.34623,58.47183,66.21675,0.00235,0.00245,0.00225,95062.0849,95018.41657,95113.62466,94950.42588,94901.93817,95006.77577,5926762.181,5555900.319,6298114.876,223.31805,232.9568,213.69778
